code,name,short_name,source,as_of,status,n_items,n_selling
00080319,수성자산운용(주),수성,웹 확인 2026-08-25: https://www.nicebizinfo.com/ep/EP0100M002GE.nice?kiscode=F64249,2026-08-22,web_confirmed,20,12
00080184,베스타스자산운용(주),베스타스,웹 확인 2026-08-25: https://www.nicebizinfo.com/ep/EP0100M002GE.nice?kiscode=G15566,2026-08-22,web_confirmed,19,15
00080107,(주)인마크자산운용,INMARK미국,웹 확인 https://www.lei-lookup.com/record/988400QGFVBNPKHM8140/ (2026-08-25) — INMARK Asset Management,2026-08-22,web_confirmed,18,9
00080204,하나대체투자자산운용,하나대체투자,미래에셋증권 펀드상세 웹 ADMICN(2026-08-18 관측),2026-08-22,confirmed,18,5
00080169,에이디에프자산운용(주),ADF,웹 확인 2026-08-25: https://thevc.kr/adfassetmanagement · fsc.go.kr 첨부 '에이디에프자산운용 주식회사',2026-08-22,web_confirmed,18,10
00080153,,동양종금하이일드,"종목명 접두 최빈값 (점유 33%) — 법인명 아님 | 검수 2026-08-25: 동양종금하이일드 — 구 동양종합금융증권 상품, 현 운용주체 미확정",2026-08-22,derived,18,5
00080333,한국투자리얼에셋운용,한국투자리얼에셋,미래에셋증권 펀드상세 웹 ADMICN(2026-08-18 관측),2026-08-22,confirmed,18,6
00080173,빌리언폴드자산운용(주),빌리언폴드,웹 확인 2026-08-25: https://billionfold.com/ · thebell 202506200126191500107125 (Billion Beat 시리즈),2026-08-22,web_confirmed,18,18
00080114,파인밸류자산운용(주),파인밸류,웹 확인 2026-08-25: https://www.findvalue.co.kr/ · kofia 회원사동정 seq=6056,2026-08-22,web_confirmed,17,10
00080115,오라이언자산운용(주),오라이언,웹 확인 https://orioncm.co.kr/home/ (2026-08-25) — Orion Capital Management,2026-08-22,web_confirmed,17,10
00080120,(주)알펜루트자산운용,알펜루트,웹 확인 2026-08-25: http://alpenroute.com/ · saramin 알펜루트자산운용(주),2026-08-22,web_confirmed,17,17
00080397,에이원자산운용(주),에이원,웹 확인 2026-08-25: http://www.aoneasset.co.kr/ · thevc.kr/aoneassetmanagement,2026-08-22,web_confirmed,17,13
00080322,(주)안다에이치자산운용,안다H,웹 확인 https://thevc.kr/andahassetmanagement (2026-08-25) — ANDA H — 안다자산운용(00080091) 물적분할 자회사,2026-08-22,web_confirmed,17,4
00080359,더제이자산운용,더제이,금융투자협회 회원사 코드,2026-08-22,confirmed,15,14
00080049,,현대스위스사모특,종목명 접두 최빈값 (점유 27%) — 법인명 아님,2026-08-22,derived,15,0
00080368,브이아이피자산운용,브이아이피,미래에셋증권 펀드상세 웹 ADMICN(2026-08-18 관측),2026-08-22,confirmed,15,15
00080095,시몬느자산운용(주),시몬느미국부동산,웹 확인 https://simonefg.co.kr/ (2026-08-25) — Simone Investment Managers,2026-08-22,web_confirmed,15,7
00080152,르네상스자산운용(주),르네상스,웹 확인 2026-08-25: https://www.rnasset.com/ · bizno.net/article/8578100424 (르네상스가치1호),2026-08-22,web_confirmed,15,12
00080394,(주)더블유자산운용,더블유,웹 확인 2026-08-25: http://w-asset.com/ · thevc.kr/wassetmanagement (W스페셜시츄에이션),2026-08-22,web_confirmed,14,11
00080117,,씨스퀘어,종목명 접두 최빈값 (점유 71%) — 법인명 아님,2026-08-22,derived,14,1
00080103,,트윈스12투신개,종목명 접두 최빈값 (점유 21%) — 법인명 아님,2026-08-22,derived,14,0
00080126,인벡스자산운용(주),인벡스,웹 확인 https://invex.co.kr/main2/ (2026-08-25) — INVEX Capital Management,2026-08-22,web_confirmed,14,6
00080048,브레인자산운용,브레인,미래에셋증권 펀드상세 웹 ADMICN(2026-08-18 관측),2026-08-22,confirmed,14,9
00080168,삼성에스알에이자산운용(주),삼성SRA일반사,웹 확인 https://www.samsungsra.com/ko (2026-08-25) — Samsung SRA Asset Management,2026-08-22,web_confirmed,14,7
00040099,신한투자증권(주),신한금융투자,웹 확인 https://www.shinhansec.com/ (2026-08-25) — 구 신한금융투자(2022 사명변경) — 증권사,2026-08-22,web_confirmed,13,4
00080056,라자드코리아자산운용,라자드코리아,미래에셋증권 펀드상세 웹 ADMICN(2026-08-18 관측),2026-08-22,confirmed,13,0
00130003,,슈로더이머징유럽,종목명 접두 최빈값 (점유 15%) — 법인명 아님 | 검수 2026-08-25: 0013xxxx 역외(Schroders) — derived 유지,2026-08-22,derived,13,13
00080155,,한국대안투자,종목명 접두 최빈값 (점유 31%) — 법인명 아님,2026-08-22,derived,13,0
00080134,,삼성,종목명 접두 최빈값 (점유 25%) — 법인명 아님 | 검수 2026-08-25: '삼성' 접두 점유 25% — 삼성 계열 어느 법인인지 미확정(00040010 과 별개 코드),2026-08-22,derived,12,5
00080144,,국제Active,종목명 접두 최빈값 (점유 42%) — 법인명 아님,2026-08-22,derived,12,2
00040104,,에이원프라임메자,종목명 접두 최빈값 (점유 42%) — 법인명 아님,2026-08-22,derived,12,0
00080252,,케이알일반사모부,종목명 접두 최빈값 (점유 64%) — 법인명 아님 | 검수 2026-08-25: 케이알 일반사모부동산 — 법인 미확정(검색 불일치),2026-08-22,derived,11,7
00080399,(주)블리츠자산운용,블리츠리베로오아,웹 확인 http://www.blitz-asset.com/ (2026-08-25) — Blitz Asset Management,2026-08-22,web_confirmed,11,8
00130005,,북미펀드,종목명 접두 최빈값 (점유 9%) — 법인명 아님 | 검수 2026-08-25: 0013xxxx 역외(북미펀드) — derived 유지,2026-08-22,derived,11,11
00080106,그로쓰힐자산운용(주),그로쓰힐,웹 확인 http://m.growthhill.com/page/page13 (2026-08-25) — Growth Hill Asset Management,2026-08-22,web_confirmed,11,9
00080199,마스턴투자운용(주),마스턴제192호,웹 확인 https://lei.bloomberg.com/leis/view/9884005FNXAPJMH56Q49 (2026-08-25) — Mastern Investment Management,2026-08-22,web_confirmed,11,8
00080290,웰브릿지자산운용(주),웰브릿지,웹 확인 https://thevc.kr/wellbridgeassetmanagement (2026-08-25) — 라임 가교 운용사(2020 설립),2026-08-22,web_confirmed,10,8
00080123,(주)한앤파트너스자산운용,한&파트너스,웹 확인 https://thevc.kr/hannpartnersassetmanagement (2026-08-25) — HAN & Partners Asset Management,2026-08-22,web_confirmed,10,5
00080202,,아름드리Gaus,종목명 접두 최빈값 (점유 100%) — 법인명 아님,2026-08-22,derived,10,2
00080141,,리코달팽이하이일,종목명 접두 최빈값 (점유 30%) — 법인명 아님,2026-08-22,derived,10,0
00130004,,AB,종목명 접두 최빈값 (점유 30%) — 법인명 아님 | 검수 2026-08-25: 0013xxxx 역외(AllianceBernstein) — derived 유지,2026-08-22,derived,10,10
00080061,,지지전문투자형사,종목명 접두 최빈값 (점유 20%) — 법인명 아님,2026-08-22,derived,10,0
00080393,,파인밸류,종목명 접두 최빈값 (점유 100%) — 법인명 아님,2026-08-22,derived,9,3
00080185,,라움,종목명 접두 최빈값 (점유 33%) — 법인명 아님,2026-08-22,derived,9,2
00080170,,LK,종목명 접두 최빈값 (점유 67%) — 법인명 아님,2026-08-22,derived,9,1
00080242,(주)타이거대체투자운용,타이거대체전문투,웹 확인 http://www.tigeralt.com/ (2026-08-25) — Tiger Alternative Investors — 타이거자산운용투자일임(00080396)과 별개,2026-08-22,web_confirmed,9,5
00130002,,템플턴글로벌본드,종목명 접두 최빈값 (점유 22%) — 법인명 아님 | 검수 2026-08-25: 0013xxxx 역외(Franklin Templeton) — derived 유지,2026-08-22,derived,9,9
00130006,,미래에셋차이나업,종목명 접두 최빈값 (점유 25%) — 법인명 아님 | 검수 2026-08-25: 0013xxxx 역외(미래에셋 홍콩/룩셈부르크 등) — derived 유지,2026-08-22,derived,8,8
00130026,,블랙록월드광업주,종목명 접두 최빈값 (점유 25%) — 법인명 아님 | 검수 2026-08-25: 0013xxxx 역외(BlackRock) — derived 유지,2026-08-22,derived,8,8
00080190,,한강BTL프로젝,"종목명 접두 최빈값 (점유 25%) — 법인명 아님 | 검수 2026-08-25: 한강BTL 프로젝트 — 특별자산 SPC 묶음, 운용사 미확정",2026-08-22,derived,8,6
00080398,브이엠자산운용(주),브이엠,웹 확인 http://www.vminvest.co.kr/ (2026-08-25) — VM Investment Management — 00080197 과 동일 브랜드(중복 코드 사유 미확인),2026-08-22,web_confirmed,8,4
00080158,아크임팩트자산운용(주),아크,웹 확인 https://www.lei-lookup.com/record/988400AW10CF2P7HYM87/ (2026-08-25) — ARK Impact Asset Management,2026-08-22,web_confirmed,7,4
00080197,브이엠자산운용(주),브이엠,웹 확인 http://www.vminvest.co.kr/ (2026-08-25) — VM Investment Management — 00080398 과 동일 브랜드(중복 코드 사유 미확인),2026-08-22,web_confirmed,7,4
00080188,에이아이파트너스자산운용(주),에이아이파트너스,웹 확인 https://www.legalentityidentifier.in/leicert/988400I3FCSJFGYOXG76/ (2026-08-25) — AI Partners Asset Management — AIP 와 별개,2026-08-22,web_confirmed,7,7
00080218,파인스트리트자산운용(주),파인스트리트글로,웹 확인 https://www.pinestreetgrp.com/amc/ (2026-08-25) — PineStreet Asset Management (전문사모),2026-08-22,web_confirmed,7,6
00080118,,CK골디락스,종목명 접두 최빈값 (점유 86%) — 법인명 아님,2026-08-22,derived,7,4
00080267,,차파트너스,종목명 접두 최빈값 (점유 100%) — 법인명 아님,2026-08-22,derived,7,4
00080108,,밸류파트너스,종목명 접두 최빈값 (점유 57%) — 법인명 아님,2026-08-22,derived,7,3
00080186,,마일스톤전문투자,종목명 접두 최빈값 (점유 50%) — 법인명 아님,2026-08-22,derived,6,0
00080110,,아우름,종목명 접두 최빈값 (점유 67%) — 법인명 아님,2026-08-22,derived,6,4
00080337,,비에프로지스틱스,종목명 접두 최빈값 (점유 100%) — 법인명 아님,2026-08-22,derived,6,2
00080124,,메리츠전문투자형,종목명 접두 최빈값 (점유 67%) — 법인명 아님,2026-08-22,derived,6,4
00080180,,스마일게이트,종목명 접두 최빈값 (점유 100%) — 법인명 아님,2026-08-22,derived,6,1
00080069,,엠플러스사모부동,종목명 접두 최빈값 (점유 33%) — 법인명 아님,2026-08-22,derived,6,0
00080128,,아샘,종목명 접두 최빈값 (점유 67%) — 법인명 아님,2026-08-22,derived,6,1
00080243,,피타,종목명 접두 최빈값 (점유 100%) — 법인명 아님,2026-08-22,derived,6,0
00080326,토포앤코코리아자산운용(주),TCK,웹 확인 https://www.newspim.com/news/view/20211109000647 (2026-08-25) — TCK Investments 국내 법인(2021 전문사모 등록),2026-08-22,web_confirmed,6,6
00080294,누버거버먼자산운용(주),NB글로벌비상장,웹 확인 https://www.nb.com/ko/kr/nb-korea-overview (2026-08-25) — Neuberger Berman Asset Management Korea (추정 — 'NB글로벌비상장' 접두),2026-08-22,web_confirmed,6,6
00080068,,하나일반사모증권,종목명 접두 최빈값 (점유 33%) — 법인명 아님,2026-08-22,derived,6,2
00080133,,마운틴폭스전문투,종목명 접두 최빈값 (점유 60%) — 법인명 아님,2026-08-22,derived,5,4
00080151,,제이앤제이포커스,종목명 접두 최빈값 (점유 60%) — 법인명 아님,2026-08-22,derived,5,0
00080140,,아너스골든트리혼,종목명 접두 최빈값 (점유 60%) — 법인명 아님,2026-08-22,derived,5,3
00080166,,첼시뉴크레딧사모,종목명 접두 최빈값 (점유 100%) — 법인명 아님,2026-08-22,derived,5,0
00080105,,리운코스닥벤처일,종목명 접두 최빈값 (점유 60%) — 법인명 아님,2026-08-22,derived,5,4
00080146,,KOTAM마리타,종목명 접두 최빈값 (점유 40%) — 법인명 아님,2026-08-22,derived,5,3
00080142,(주)라쿤자산운용,라쿤Agile전,웹 확인 https://www.raccoonasset.com/ (2026-08-25) — Raccoon Asset Management,2026-08-22,web_confirmed,5,5
00080125,,아이온아르케전문,종목명 접두 최빈값 (점유 60%) — 법인명 아님,2026-08-22,derived,5,0
00080179,,WWG,종목명 접두 최빈값 (점유 100%) — 법인명 아님,2026-08-22,derived,5,3
00080122,,나눔하이일드전문,종목명 접두 최빈값 (점유 100%) — 법인명 아님,2026-08-22,derived,4,0
00080137,,비전헤지드리턴부,종목명 접두 최빈값 (점유 75%) — 법인명 아님,2026-08-22,derived,4,4
00080143,,라살일반사모부동,종목명 접두 최빈값 (점유 50%) — 법인명 아님,2026-08-22,derived,4,3
00080191,,프라핏,종목명 접두 최빈값 (점유 75%) — 법인명 아님,2026-08-22,derived,4,3
00080136,,대덕분리과세하이,종목명 접두 최빈값 (점유 50%) — 법인명 아님,2026-08-22,derived,4,1
00040100,,토러스Stead,종목명 접두 최빈값 (점유 100%) — 법인명 아님,2026-08-22,derived,4,0
00080244,,SAP,종목명 접두 최빈값 (점유 100%) — 법인명 아님,2026-08-22,derived,4,2
